Code,CacheGeneratedAt,Name,Artist,Charter,Difficulty,Release,Official,NoteCount,DurationS,aNPS,pNPS,stdNPS,medNPS,aVPS,pVPS,stdVPS,medVPS,N,V,COV,D,RemapDiff,CalcTier
45167382,08052026-1317,Supernovae,"ArchWk, ft. Various (remaster)","ArchWk, Hyperbola, Jarvis9999",-1,Custom,False,11902,893,13.32,64.0,11.8,9.0,11.6,64.0,12.39,7.0,21.83,19.64,1.59,683.0,6,11
61555471,08052026-1317,Epidox,Exilelord,Exilelord,6,Custom,False,3023,305,9.89,28.0,7.54,6.0,8.32,28.0,6.01,7.0,12.7,12.51,1.43,227.4,6,8
36080718,08052026-1317,Hellidox,ExileLord,Exilelord,7,Custom,False,3023,209,14.43,43.0,11.24,10.0,12.15,43.0,8.87,10.0,19.61,18.51,1.43,518.83,6,10
73231490,08052026-1317,Obsidian,Exilelord,Exilelord,6,Custom,False,2835,199,14.19,39.0,9.37,14.0,10.78,39.0,8.57,11.0,20.67,17.59,1.36,495.01,6,10
17667347,08052026-1317,Soulless,Exilelord,Exilelord,6,Custom,False,3579,353,10.12,16.0,6.03,12.0,8.77,16.0,5.63,10.0,12.75,11.49,1.29,188.35,6,8
75699637,08052026-1317,Soulless 2,Exilelord,Exilelord,6,Custom,False,2902,277,10.46,33.0,7.79,9.0,10.03,33.0,7.2,8.0,15.43,14.73,1.4,318.15,6,9
67303918,08052026-1317,Soulless 3,Exilelord,Exilelord,6,Custom,False,3999,335,11.9,34.0,7.2,13.0,9.21,34.0,7.08,8.0,18.12,14.48,1.34,352.96,6,9
47969130,08052026-1317,Soulless 3 Redux,Exilelord,Exilelord,6,Custom,False,3999,335,11.9,34.0,7.2,13.0,9.21,34.0,7.08,8.0,18.12,14.48,1.34,352.96,6,9
73564787,08052026-1317,Soulless 4,ExileLord,ExileLord,6,Custom,False,9005,740,12.16,34.0,6.78,12.0,10.5,34.0,7.47,8.0,17.82,15.13,1.34,360.48,6,9
52814738,08052026-1317,Soulless 5,ExileLord,Various,11,Custom,False,10699,1008,10.61,35.0,7.62,9.0,9.55,40.0,7.79,8.0,15.87,15.63,1.42,350.97,6,9
38658190,08052026-1317,Megalodon,Jarvis9999,Jarvis9999,69,Custom,False,13688,1122,12.19,43.0,8.13,12.0,11.46,62.0,8.99,10.0,19.5,21.04,1.38,564.22,6,10
47869103,08052026-1317,Striking Beams,Kolajo,Kolajo,6,Custom,False,2110,226,9.31,20.0,3.64,10.0,10.4,21.0,4.41,10.0,12.7,13.41,1.2,204.73,6,8
66129470,08052026-1317,Penger,TheSuperMarioBros2,TheSuperMarioBros2/Plumato,5,Custom,False,3497,276,12.64,43.0,9.99,10.0,12.59,43.0,10.11,10.0,18.76,18.73,1.44,507.76,6,10
30674336,08052026-1317,Cosmic Embassy,TSMB2,TheSuperMarioBros2,6,Custom,False,2328,200,11.61,28.0,6.45,11.0,12.53,34.0,6.34,14.0,15.92,18.84,1.26,378.21,6,9
